incident_num,defendant_id,arraignment_date,charge,num_charges,felony,expungable,any_bail,bail_amount,bail_types,num_conditions,did_not_appear,prior_appearences,gender,race,judge_id,arraignment_data
19BU003131,Defendant815,3/7/2019,Leaving Scene Of An Accident,1,0,1,0,0,No Bail,1,0,0,Male,White,Judge10,TRUE
19BU003785,Defendant506,3/7/2019,Violation Of Conditions Of Release (Other),1,0,0,0,0,No Bail,1,1,2,Male,Black,Judge10,TRUE
19BU002933,Defendant659,3/7/2019,Disorderly Conduct - All Other,1,0,1,1,100,Bail,1,1,4,Male,White,Judge10,TRUE
18BU021899,Defendant220,3/7/2019,"Drugs - Cocaine, Sale <2.5 Gm",5,1,0,0,0,No Bail,3,0,0,Male,Black,Judge10,TRUE
18BU007958,Defendant531,3/7/2019,"Drugs - Cocaine, Sale <2.5 Gm",2,1,0,0,0,No Bail,3,0,0,Male,Black,Judge10,TRUE
19BU003328,Defendant203,3/7/2019,Driving With A Criminally Suspended License,1,0,1,1,200,Bail,1,1,10,Male,White,Judge10,TRUE
19BU002623,Defendant916,3/7/2019,Stolen Property Receiving (Possession Of) Stolen Property (Felony),1,1,0,0,0,No Bail,3,0,0,Male,White,Judge10,TRUE
19BU003021,Defendant113,3/7/2019,Assault On A Law Enforcement Officer (Misdemeanor),2,0,0,1,200,Bail,1,1,0,Male,White,Judge10,TRUE
19BU003120,Defendant324,3/7/2019,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),2,0,1,0,0,No Bail,4,0,2,Male,White,Judge10,TRUE
19BU004651,Defendant1006,3/8/2019,Assault With Bodily Fluids (Misdemeanor),1,0,1,1,200,Bail,1,1,1,Female,White,Judge7,TRUE
19BU004774,Defendant592,3/9/2019,Sexual Assault,2,1,0,0,0,Remanded,NA,0,0,Male,White,Judge10,TRUE
19BU004777,Defendant117,3/11/2019,Negligent Operation,1,0,1,0,0,No Bail,3,0,1,Female,White,Judge10,TRUE
19BU004821,Defendant503,3/11/2019,Domestic Assault,1,0,0,0,0,No Bail,1,1,0,Female,White,Judge10,TRUE
18BU023851,Defendant1013,3/12/2019,Domestic Assault,7,0,0,0,0,Remanded,5,0,0,Female,White,Judge12,TRUE
19BU004942,Defendant659,3/12/2019,Disorderly Conduct - All Other,1,0,1,1,100,Bail,1,0,5,Male,White,Judge12,TRUE
19BU004925,Defendant839,3/12/2019,Assault With Bodily Fluids (Misdemeanor),3,0,1,0,0,No Bail,1,1,0,Male,White,Judge12,TRUE
19SB001987,Defendant602,3/12/2019,Cruelty To Animals (Misdemeanor),2,0,1,1,200,Bail,1,1,1,Male,White,Judge12,TRUE
19BU000168,Defendant503,3/12/2019,Domestic Assault,2,0,0,0,0,No Bail,1,1,1,Female,White,Judge12,TRUE
19BU000168,Defendant55,3/12/2019,Driving With A Criminally Suspended License,2,0,1,0,0,No Bail,1,0,0,Male,White,Judge12,TRUE
19BU003588,Defendant47,3/12/2019,Driving Under The Influence; Second And Subsequent Offense,2,0,0,1,500,Bail,1,1,0,Male,White,Judge12,TRUE
19BU003663,Defendant357,3/12/2019,Resisting Arrest,2,0,1,1,200,Bail,1,1,1,Female,White,Judge12,TRUE
19BU003721,Defendant185,3/12/2019,Retail Theft (Misd),1,0,1,0,0,No Bail,1,1,2,Male,White,Judge12,TRUE
